Time,Intermittent phase,Intermittent mode,Pressure [hPa],Salinity [ä],O_ [% air sat.],O_ MovAvg [% air sat.],O_ Phase,O_ Amplitude,Temperature [¡C],Temperature MovAvg [¡C],Temperature used for compensation [¡C],PowerX4-EAC7 voltage [V] (flush),PowerX4-EAC7 relay number (flush),PowerX4-EAC7 relay state (flush),PowerX4-EAC7 relay current [mA] (flush),PowerX4-EAC7 parent voltage [V] (recirc),PowerX4-EAC7 relay number (recirc),PowerX4-EAC7 relay state (recirc),PowerX4-EAC7 relay current [mA] (recirc)
10:02:17 AM,F1,RITF,1013.25,29.13,107.88,107.88,30.42,9130,5.79,5.79,5.79,111000,2,ON,319,111000,1,OFF,0
10:02:18 AM,F1,RITF,1013.25,29.13,107.88,107.88,30.42,9130,5.79,5.79,5.79,111000,2,ON,319,111000,1,OFF,0
10:02:19 AM,F1,RITF,1013.25,29.13,108.02,108.02,30.4,9134,5.81,5.81,5.81,111000,2,ON,318,111000,1,OFF,0
10:02:20 AM,F1,RITF,1013.25,29.13,107.68,107.68,30.43,9131,5.83,5.83,5.83,111000,2,ON,318,111000,1,OFF,0
10:02:21 AM,F1,RITF,1013.25,29.13,107.78,107.78,30.42,9133,5.83,5.83,5.83,111000,2,ON,318,111000,1,OFF,0
10:02:22 AM,F1,RITF,1013.25,29.13,107.92,107.92,30.41,9132,5.81,5.81,5.81,111000,2,ON,318,111000,1,OFF,0
10:02:23 AM,F1,RITF,1013.25,29.13,107.71,107.71,30.43,9130,5.82,5.82,5.82,111000,2,ON,318,111000,1,OFF,0
10:02:24 AM,F1,RITF,1013.25,29.13,107.61,107.61,30.44,9132,5.82,5.82,5.82,111000,2,ON,318,111000,1,OFF,0
10:02:25 AM,F1,RITF,1013.25,29.13,107.78,107.78,30.42,9132,5.83,5.83,5.83,111000,2,ON,318,111000,1,OFF,0
10:02:26 AM,F1,RITF,1013.25,29.13,107.97,107.97,30.4,9131,5.83,5.83,5.83,111000,2,ON,318,111000,1,OFF,0
10:02:27 AM,F1,RITF,1013.25,29.13,107.75,107.75,30.42,9133,5.84,5.84,5.84,111000,2,ON,318,111000,1,OFF,0
10:02:28 AM,F1,RITF,1013.25,29.13,108.12,108.12,30.38,9135,5.85,5.85,5.85,111000,2,ON,318,111000,1,OFF,0
10:02:29 AM,F1,RITF,1013.25,29.13,107.92,107.92,30.4,9129,5.85,5.85,5.85,111000,2,ON,318,111000,1,OFF,0
10:02:30 AM,F1,RITF,1013.25,29.13,107.75,107.75,30.42,9128,5.84,5.84,5.84,111000,2,ON,318,111000,1,OFF,0
10:02:31 AM,F1,RITF,1013.25,29.13,107.85,107.85,30.41,9129,5.84,5.84,5.84,111000,2,ON,318,111000,1,OFF,0
10:02:32 AM,F1,RITF,1013.25,29.13,107.9,107.9,30.4,9131,5.86,5.86,5.86,111000,2,ON,318,111000,1,OFF,0
10:02:33 AM,F1,RITF,1013.25,29.13,107.97,107.97,30.39,9129,5.87,5.87,5.87,111000,2,ON,318,111000,1,OFF,0
10:02:34 AM,F1,RITF,1013.25,29.13,108.28,108.28,30.36,9126,5.86,5.86,5.86,111000,2,ON,318,111000,1,OFF,0
10:02:35 AM,F1,RITF,1013.25,29.13,108.07,108.07,30.38,9129,5.87,5.87,5.87,111000,2,ON,318,111000,1,OFF,0
10:02:36 AM,F1,RITF,1013.25,29.13,107.97,107.97,30.39,9127,5.87,5.87,5.87,111000,2,ON,318,111000,1,OFF,0
10:02:37 AM,F1,RITF,1013.25,29.13,107.92,107.92,30.4,9130,5.85,5.85,5.85,111000,2,ON,318,111000,1,OFF,0
10:02:38 AM,F1,RITF,1013.25,29.13,108.02,108.02,30.39,9123,5.85,5.85,5.85,111000,2,ON,318,111000,1,OFF,0
10:02:39 AM,F1,RITF,1013.25,29.13,107.8,107.8,30.41,9120,5.86,5.86,5.86,110000,2,ON,318,110000,1,OFF,0
10:02:40 AM,F1,RITF,1013.25,29.13,108.12,108.12,30.38,9102,5.85,5.85,5.85,110000,2,ON,318,110000,1,OFF,0
10:02:41 AM,F1,RITF,1013.25,29.13,107.99,107.99,30.39,9100,5.86,5.86,5.86,110000,2,ON,318,110000,1,OFF,0
10:02:42 AM,F1,RITF,1013.25,29.13,107.85,107.85,30.4,9103,5.88,5.88,5.88,110000,2,ON,318,110000,1,OFF,0
10:02:43 AM,F1,RITF,1013.25,29.13,107.54,107.54,30.43,9127,5.89,5.89,5.89,110000,2,ON,318,110000,1,OFF,0
10:02:44 AM,F1,RITF,1013.25,29.13,107.83,107.83,30.4,9137,5.89,5.89,5.89,110000,2,ON,318,110000,1,OFF,0
10:02:45 AM,F1,RITF,1013.25,29.13,108.07,108.07,30.37,9130,5.91,5.91,5.91,110000,2,ON,318,110000,1,OFF,0
10:02:46 AM,F1,RITF,1013.25,29.13,107.32,107.32,30.45,9129,5.9,5.9,5.9,110000,2,ON,318,110000,1,OFF,0
10:02:47 AM,F1,RITF,1013.25,29.13,107.9,107.9,30.39,9129,5.9,5.9,5.9,110000,2,ON,318,110000,1,OFF,0
10:02:48 AM,F1,RITF,1013.25,29.13,107.92,107.92,30.39,9129,5.89,5.89,5.89,110000,2,ON,318,110000,1,OFF,0
10:02:49 AM,F1,RITF,1013.25,29.13,107.71,107.71,30.41,9126,5.9,5.9,5.9,110000,2,ON,317,110000,1,OFF,0
10:02:50 AM,F1,RITF,1013.25,29.13,107.83,107.83,30.4,9128,5.89,5.89,5.89,110000,2,ON,317,110000,1,OFF,0
10:02:51 AM,F1,RITF,1013.25,29.13,107.99,107.99,30.38,9126,5.9,5.9,5.9,110000,2,ON,317,110000,1,OFF,0
10:02:52 AM,F1,RITF,1013.25,29.13,108.36,108.36,30.35,9127,5.87,5.87,5.87,110000,2,ON,317,110000,1,OFF,0
10:02:53 AM,F1,RITF,1013.25,29.13,108.26,108.26,30.36,9126,5.87,5.87,5.87,110000,2,ON,317,110000,1,OFF,0
10:02:54 AM,F1,RITF,1013.25,29.13,107.75,107.75,30.41,9132,5.88,5.88,5.88,110000,2,ON,317,110000,1,OFF,0
10:02:55 AM,F1,RITF,1013.25,29.13,107.95,107.95,30.39,9124,5.88,5.88,5.88,110000,2,ON,317,110000,1,OFF,0
10:02:56 AM,F1,RITF,1013.25,29.13,108.02,108.02,30.38,9131,5.89,5.89,5.89,110000,2,ON,317,110000,1,OFF,0
10:02:57 AM,F1,RITF,1013.25,29.13,107.59,107.59,30.42,9129,5.91,5.91,5.91,110000,2,ON,317,110000,1,OFF,0
10:02:58 AM,F1,RITF,1013.25,29.13,108.04,108.04,30.37,9129,5.92,5.92,5.92,110000,2,ON,317,110000,1,OFF,0
10:02:59 AM,F1,RITF,1013.25,29.13,107.68,107.68,30.41,9132,5.91,5.91,5.91,110000,2,ON,317,110000,1,OFF,0
10:03:00 AM,F1,RITF,1013.25,29.13,107.97,107.97,30.38,9128,5.91,5.91,5.91,110000,2,ON,317,110000,1,OFF,0
10:03:01 AM,F1,RITF,1013.25,29.13,108.09,108.09,30.37,9125,5.9,5.9,5.9,110000,2,ON,317,110000,1,OFF,0
10:03:02 AM,F1,RITF,1013.25,29.13,107.87,107.87,30.39,9130,5.91,5.91,5.91,110000,2,ON,317,110000,1,OFF,0
10:03:03 AM,F1,RITF,1013.25,29.13,108.09,108.09,30.37,9123,5.9,5.9,5.9,110000,2,ON,317,110000,1,OFF,0
10:03:04 AM,F1,RITF,1013.25,29.13,107.87,107.87,30.39,9125,5.91,5.91,5.91,110000,2,ON,317,110000,1,OFF,0
10:03:05 AM,F1,RITF,1013.25,29.13,107.87,107.87,30.39,9124,5.91,5.91,5.91,110000,2,ON,317,110000,1,OFF,0
10:03:06 AM,F1,RITF,1013.25,29.13,108.14,108.14,30.36,9119,5.92,5.92,5.92,110000,2,ON,317,110000,1,OFF,0
10:03:07 AM,F1,RITF,1013.25,29.13,108.04,108.04,30.37,9121,5.92,5.92,5.92,110000,2,ON,317,110000,1,OFF,0
10:03:08 AM,F1,RITF,1013.25,29.13,108.02,108.02,30.37,9111,5.93,5.93,5.93,110000,2,ON,317,110000,1,OFF,0
10:03:09 AM,F1,RITF,1013.25,29.13,107.71,107.71,30.4,9113,5.94,5.94,5.94,110000,2,ON,317,110000,1,OFF,0
10:03:10 AM,F1,RITF,1013.25,29.13,107.78,107.78,30.39,9120,5.95,5.95,5.95,110000,2,ON,315,110000,1,OFF,0
10:03:11 AM,F1,RITF,1013.25,29.13,107.68,107.68,30.4,9116,5.95,5.95,5.95,110000,2,ON,315,110000,1,OFF,0
10:03:12 AM,F1,RITF,1013.25,29.13,107.87,107.87,30.38,9119,5.95,5.95,5.95,110000,2,ON,315,110000,1,OFF,0
10:03:13 AM,F1,RITF,1013.25,29.13,107.97,107.97,30.37,9117,5.95,5.95,5.95,110000,2,ON,315,110000,1,OFF,0
10:03:14 AM,F1,RITF,1013.25,29.13,107.75,107.75,30.39,9114,5.96,5.96,5.96,110000,2,ON,315,110000,1,OFF,0
10:03:15 AM,F1,RITF,1013.25,29.13,107.63,107.63,30.4,9086,5.97,5.97,5.97,110000,2,ON,315,110000,1,OFF,0
10:03:16 AM,F1,RITF,1013.25,29.13,107.66,107.66,30.4,9101,5.96,5.96,5.96,110000,2,ON,315,110000,1,OFF,0
10:03:17 AM,F1,RITF,1013.25,29.13,108.24,108.24,30.34,9115,5.96,5.96,5.96,110000,2,ON,315,110000,1,OFF,0
10:03:18 AM,F1,RITF,1013.25,29.13,107.83,107.83,30.38,9116,5.97,5.97,5.97,110000,2,ON,315,110000,1,OFF,0
10:03:19 AM,F1,RITF,1013.25,29.13,107.95,107.95,30.37,9110,5.96,5.96,5.96,110000,2,ON,315,110000,1,OFF,0
10:03:20 AM,F1,RITF,1013.25,29.13,108.02,108.02,30.36,9088,5.97,5.97,5.97,110000,2,ON,315,110000,1,OFF,0
10:03:21 AM,F1,RITF,1013.25,29.13,107.9,107.9,30.37,9093,5.98,5.98,5.98,110000,2,ON,315,110000,1,OFF,0
10:03:22 AM,F1,RITF,1013.25,29.13,108.16,108.16,30.34,9105,5.99,5.99,5.99,110000,2,ON,315,110000,1,OFF,0
10:03:23 AM,F1,RITF,1013.25,29.13,107.78,107.78,30.38,9115,5.99,5.99,5.99,110000,2,ON,315,110000,1,OFF,0
10:03:24 AM,F1,RITF,1013.25,29.13,108.24,108.24,30.33,9112,6,6,6,110000,2,ON,315,110000,1,OFF,0
10:03:25 AM,F1,RITF,1013.25,29.13,108.04,108.04,30.35,9117,6,6,6,110000,2,ON,315,110000,1,OFF,0
10:03:26 AM,F1,RITF,1013.25,29.13,107.75,107.75,30.38,9108,6,6,6,110000,2,ON,315,110000,1,OFF,0
10:03:27 AM,F1,RITF,1013.25,29.13,107.73,107.73,30.38,9113,6.01,6.01,6.01,110000,2,ON,315,110000,1,OFF,0
10:03:28 AM,F1,RITF,1013.25,29.13,107.95,107.95,30.36,9115,6,6,6,110000,2,ON,315,110000,1,OFF,0
10:03:29 AM,F1,RITF,1013.25,29.13,107.83,107.83,30.37,9117,6.01,6.01,6.01,110000,2,ON,315,110000,1,OFF,0
10:03:30 AM,F1,RITF,1013.25,29.13,107.75,107.75,30.38,9097,6,6,6,110000,2,ON,315,110000,1,OFF,0
10:03:31 AM,F1,RITF,1013.25,29.13,107.75,107.75,30.38,9113,6,6,6,110000,2,ON,315,110000,1,OFF,0
10:03:32 AM,F1,RITF,1013.25,29.13,107.85,107.85,30.37,9115,6,6,6,110000,2,ON,315,110000,1,OFF,0
10:03:33 AM,F1,RITF,1013.25,29.13,107.83,107.83,30.37,9121,6.01,6.01,6.01,110000,2,ON,315,110000,1,OFF,0
10:03:34 AM,F1,RITF,1013.25,29.13,108.02,108.02,30.35,9116,6.01,6.01,6.01,110000,2,ON,315,110000,1,OFF,0
10:03:35 AM,F1,RITF,1013.25,29.13,107.9,107.9,30.36,9114,6.02,6.02,6.02,110000,2,ON,315,110000,1,OFF,0
10:03:36 AM,F1,RITF,1013.25,29.13,107.8,107.8,30.37,9114,6.02,6.02,6.02,110000,2,ON,315,110000,1,OFF,0
10:03:37 AM,F1,RITF,1013.25,29.13,108.09,108.09,30.34,9114,6.02,6.02,6.02,110000,2,ON,315,110000,1,OFF,0
10:03:38 AM,F1,RITF,1013.25,29.13,107.92,107.92,30.36,9114,6.01,6.01,6.01,110000,2,ON,315,110000,1,OFF,0
10:03:39 AM,F1,RITF,1013.25,29.13,108.02,108.02,30.35,9106,6.01,6.01,6.01,110000,2,ON,315,110000,1,OFF,0
10:03:40 AM,F1,RITF,1013.25,29.13,107.71,107.71,30.38,9110,6.02,6.02,6.02,110000,2,ON,315,110000,1,OFF,0
10:03:41 AM,F1,RITF,1013.25,29.13,107.78,107.78,30.37,9111,6.03,6.03,6.03,110000,2,ON,315,110000,1,OFF,0
10:03:42 AM,F1,RITF,1013.25,29.13,108.07,108.07,30.34,9114,6.03,6.03,6.03,110000,2,ON,315,110000,1,OFF,0
10:03:43 AM,F1,RITF,1013.25,29.13,107.95,107.95,30.35,9109,6.04,6.04,6.04,110000,2,ON,315,110000,1,OFF,0
10:03:44 AM,F1,RITF,1013.25,29.13,107.73,107.73,30.37,9111,6.05,6.05,6.05,110000,2,ON,315,110000,1,OFF,0
10:03:45 AM,F1,RITF,1013.25,29.13,107.83,107.83,30.36,9111,6.05,6.05,6.05,110000,2,ON,315,110000,1,OFF,0
10:03:46 AM,F1,RITF,1013.25,29.13,107.73,107.73,30.37,9105,6.05,6.05,6.05,110000,2,ON,315,110000,1,OFF,0
10:03:47 AM,F1,RITF,1013.25,29.13,107.8,107.8,30.36,9109,6.06,6.06,6.06,110000,2,ON,315,110000,1,OFF,0
10:03:48 AM,F1,RITF,1013.25,29.13,107.87,107.87,30.35,9106,6.07,6.07,6.07,110000,2,ON,315,110000,1,OFF,0
10:03:49 AM,F1,RITF,1013.25,29.13,107.97,107.97,30.34,9107,6.07,6.07,6.07,110000,2,ON,315,110000,1,OFF,0
10:03:50 AM,F1,RITF,1013.25,29.13,107.95,107.95,30.34,9107,6.08,6.08,6.08,110000,2,ON,314,110000,1,OFF,0
10:03:51 AM,F1,RITF,1013.25,29.13,107.66,107.66,30.37,9110,6.08,6.08,6.08,110000,2,ON,314,110000,1,OFF,0
10:03:52 AM,F1,RITF,1013.25,29.13,108.07,108.07,30.33,9106,6.07,6.07,6.07,110000,2,ON,314,110000,1,OFF,0
10:03:53 AM,F1,RITF,1013.25,29.13,108.16,108.16,30.32,9100,6.07,6.07,6.07,110000,2,ON,314,110000,1,OFF,0
10:03:54 AM,F1,RITF,1013.25,29.13,107.99,107.99,30.34,9104,6.06,6.06,6.06,110000,2,ON,314,110000,1,OFF,0
10:03:55 AM,F1,RITF,1013.25,29.13,107.99,107.99,30.34,9107,6.06,6.06,6.06,110000,2,ON,314,110000,1,OFF,0
10:03:56 AM,F1,RITF,1013.25,29.13,108.11,108.11,30.33,9105,6.05,6.05,6.05,110000,2,ON,314,110000,1,OFF,0
10:03:57 AM,F1,RITF,1013.25,29.13,107.99,107.99,30.34,9108,6.06,6.06,6.06,110000,2,ON,314,110000,1,OFF,0
10:03:58 AM,F1,RITF,1013.25,29.13,107.99,107.99,30.34,9109,6.06,6.06,6.06,110000,2,ON,314,110000,1,OFF,0
10:03:59 AM,F1,RITF,1013.25,29.13,107.97,107.97,30.34,9110,6.07,6.07,6.07,110000,2,ON,314,110000,1,OFF,0
10:04:00 AM,F1,RITF,1013.25,29.13,107.75,107.75,30.36,9110,6.08,6.08,6.08,110000,2,ON,314,110000,1,OFF,0
10:04:01 AM,F1,RITF,1013.25,29.13,108.14,108.14,30.32,9102,6.08,6.08,6.08,110000,2,ON,314,110000,1,OFF,0
10:04:02 AM,F1,RITF,1013.25,29.13,108.31,108.31,30.3,9107,6.09,6.09,6.09,110000,2,ON,314,110000,1,OFF,0
10:04:03 AM,F1,RITF,1013.25,29.13,107.95,107.95,30.34,9105,6.08,6.08,6.08,110000,2,ON,314,110000,1,OFF,0
10:04:04 AM,F1,RITF,1013.25,29.13,107.9,107.9,30.35,9104,6.06,6.06,6.06,110000,2,ON,314,110000,1,OFF,0
10:04:05 AM,F1,RITF,1013.25,29.13,107.8,107.8,30.36,9105,6.06,6.06,6.06,110000,2,ON,314,110000,1,OFF,0
10:04:06 AM,F1,RITF,1013.25,29.13,108.04,108.04,30.33,9105,6.08,6.08,6.08,110000,2,ON,314,110000,1,OFF,0
10:04:07 AM,F1,RITF,1013.25,29.13,107.95,107.95,30.34,9105,6.08,6.08,6.08,110000,2,ON,314,110000,1,OFF,0
10:04:08 AM,F1,RITF,1013.25,29.13,108.31,108.31,30.3,9104,6.09,6.09,6.09,110000,2,ON,314,110000,1,OFF,0
10:04:09 AM,F1,RITF,1013.25,29.13,108.11,108.11,30.32,9103,6.09,6.09,6.09,110000,2,ON,314,110000,1,OFF,0
10:04:10 AM,F1,RITF,1013.25,29.13,108.02,108.02,30.33,9102,6.09,6.09,6.09,110000,2,ON,314,110000,1,OFF,0
10:04:11 AM,F1,RITF,1013.25,29.13,108.43,108.43,30.29,9102,6.08,6.08,6.08,110000,2,ON,314,110000,1,OFF,0
10:04:12 AM,F1,RITF,1013.25,29.13,108.16,108.16,30.32,9100,6.07,6.07,6.07,110000,2,ON,314,110000,1,OFF,0
10:04:13 AM,F1,RITF,1013.25,29.13,107.85,107.85,30.35,9095,6.08,6.08,6.08,110000,2,ON,314,110000,1,OFF,0
10:04:14 AM,F1,RITF,1013.25,29.13,108.11,108.11,30.32,9099,6.09,6.09,6.09,110000,2,ON,314,110000,1,OFF,0
10:04:15 AM,F1,RITF,1013.25,29.13,108.21,108.21,30.31,9099,6.09,6.09,6.09,110000,2,ON,314,110000,1,OFF,0
10:04:16 AM,F1,RITF,1013.25,29.13,108.31,108.31,30.3,9102,6.09,6.09,6.09,110000,2,ON,314,110000,1,OFF,0
10:04:17 AM,F1,RITF,1013.25,29.13,108.26,108.26,30.3,9100,6.11,6.11,6.11,110000,2,ON,314,110000,1,OFF,0
10:04:18 AM,F1,RITF,1013.25,29.13,107.95,107.95,30.33,9097,6.12,6.12,6.12,110000,2,ON,314,110000,1,OFF,0
10:04:19 AM,F1,RITF,1013.25,29.13,107.78,107.78,30.35,9101,6.11,6.11,6.11,110000,2,ON,314,110000,1,OFF,0
10:04:20 AM,F1,RITF,1013.25,29.13,108.04,108.04,30.32,9103,6.12,6.12,6.12,110000,2,ON,314,110000,1,OFF,0
